YEARS;2010;;2011;;2012;;2013;;2014;
MESES;COMPRA;VENTA;COMPRA;VENTA;COMPRA;VENTA;COMPRA;VENTA;COMPRA;VENTA
ENERO;36,11;36,1865;37,4465;37,5396;38,8584;38,9468;38,8584;40,7133;42,8638;42,9692
FEBRERO;36,192;36,2747;37,6276;37,7205;38,9425;39,0235;38,9425;40,8485;43,0865;43,1817
MARZO;36,2973;36,3679;37,763;37,852;38,9944;39,0686;38,9944;41,0954;43,1152;43,2189
ABRIL;36,4216;36,5052;37,8353;37,9026;39,0176;39,0844;39,0176;41,1457;43,11;43,2036
MAYO;36,6982;36,7937;37,8911;37,9604;39,0222;39,0942;39,0222;41,1834;43,1735;43,2833
JUNIO;36,7269;36,8124;38,0347;38,1029;39,0654;39,1366;39,0654;41,5959;43,3623;43,4811
JULIO;36,7962;36,8812;38,0444;38,1156;39,0807;39,1507;39,0807;42,0115;43,4697;43,5749
AGOSTO;36,8931;36,9863;38,062;38,132;39,1109;39,1785;39,1109;42,4939;43,4929;43,6016
SEPTIEMBRE;36,9847;37,0664;38,1453;38,2137;39,2046;39,2913;39,2046;42,706;43,6508;43,7652
OCTUBRE;37,2058;37,2909;38,3001;38,3697;39,4283;39,5269;39,4283;42,5153;43,8038;43,9085
NOVIEMBRE;37,2157;37,2951;38,4416;38,5145;39,9355;40,0477;39,9355;42,5256;44,0235;44,1474
DICIEMBRE;37,3097;37,3952;38,5473;38,6275;40,1704;40,2946;40,1704;42,6996;44,1435;44,2607
